,symbol,date,close,volume,change,percentChange
4054,IEFA,2019-12-31,65.239998,7525200.0,0.22,0.338
4055,IEFA,2019-12-30,64.949997,10417000.0,-0.58,-0.885
4056,IEFA,2019-12-27,65.43,6779200.0,-0.17,-0.259
4057,IEFA,2019-12-26,65.269997,4006000.0,0.27,0.415
4058,IEFA,2019-12-24,65.010002,3047900.0,-0.06,-0.092
4059,IEFA,2019-12-23,65.07,11389800.0,0.09,0.139
4060,IEFA,2019-12-20,64.919998,7271900.0,-0.12,-0.185
4061,IEFA,2019-12-19,64.849998,9505900.0,0.08,0.124
4062,IEFA,2019-12-18,64.849998,5109600.0,-0.03,-0.046
4063,IEFA,2019-12-17,64.959999,11030000.0,-0.08,-0.123
4064,IEFA,2019-12-16,65.309998,7788900.0,0.11,0.169
4065,IEFA,2019-12-13,65.510002,9601800.0,0.06001,0.092
4066,IEFA,2019-12-12,65.07,8157300.0,0.44,0.681
4067,IEFA,2019-12-11,64.650002,6931300.0,0.31001,0.482
4068,IEFA,2019-12-10,64.379997,6336900.0,0.09,0.14
4069,IEFA,2019-12-09,64.32,5910300.0,-0.22,-0.341
4070,IEFA,2019-12-06,64.639999,4873700.0,0.07,0.108
4071,IEFA,2019-12-05,64.059998,7828100.0,-0.16,-0.249
4072,IEFA,2019-12-04,64.160004,7587500.0,0.2,0.313
4073,IEFA,2019-12-03,63.560001,11592800.0,0.37,0.586
4074,IEFA,2019-12-02,63.779999,9928300.0,-0.21,-0.328
4075,IEFA,2019-11-29,63.82,4683900.0,-0.35,-0.545
4076,IEFA,2019-11-27,64.559998,5615900.0,0.1,0.155
4077,IEFA,2019-11-26,64.360001,9278900.0,0.1,0.156
4078,IEFA,2019-11-25,64.349998,8660700.0,0.25,0.39
4079,IEFA,2019-11-22,63.830002,5610800.0,-0.12,-0.188
4080,IEFA,2019-11-21,63.700001,7429400.0,-0.07,-0.11
4081,IEFA,2019-11-20,63.759998,5897800.0,-0.08,-0.125
4082,IEFA,2019-11-19,64.18,7271600.0,-0.27,-0.419
4083,IEFA,2019-11-18,64.220001,14210100.0,0.15,0.234
4084,IEFA,2019-11-15,64.129997,7402000.0,0.23,0.36
4085,IEFA,2019-11-14,63.740002,7893900.0,0.13,0.204
4086,IEFA,2019-11-13,63.869999,6500800.0,0.23,0.361
4087,IEFA,2019-11-12,64.110001,9628600.0,0.06,0.094
4088,IEFA,2019-11-11,64.089996,3803300.0,0.24,0.376
4089,IEFA,2019-11-08,64.150002,5928900.0,0.16,0.25
4090,IEFA,2019-11-07,64.25,6979700.0,-0.12,-0.186
4091,IEFA,2019-11-06,64.029999,10161700.0,-0.06,-0.094
4092,IEFA,2019-11-05,64.089996,13242500.0,-0.03001,-0.047
4093,IEFA,2019-11-04,64.190002,8970000.0,-0.07999,-0.124
4094,IEFA,2019-11-01,63.849998,9346900.0,0.17,0.267
4095,IEFA,2019-10-31,63.23,13569100.0,-0.01,-0.016
4096,IEFA,2019-10-30,63.419998,10436100.0,0.3,0.475
4097,IEFA,2019-10-29,63.150002,6991500.0,0.19,0.302
4098,IEFA,2019-10-28,63.139999,15827700.0,0.12,0.19
4099,IEFA,2019-10-25,62.869999,4103600.0,0.24,0.383
4100,IEFA,2019-10-24,62.84,5787800.0,-0.11,-0.175
4101,IEFA,2019-10-23,62.740002,5608400.0,0.26,0.416
4102,IEFA,2019-10-22,62.41,7914500.0,-0.22,-0.351
4103,IEFA,2019-10-21,62.610001,4629200.0,-0.04,-0.064
4104,IEFA,2019-10-18,62.220001,7713500.0,0.08,0.129
4105,IEFA,2019-10-17,62.25,7114800.0,-0.11,-0.176
4106,IEFA,2019-10-16,62.110001,6809300.0,0.11,0.177
4107,IEFA,2019-10-15,62.029999,6799900.0,0.47,0.763
4108,IEFA,2019-10-14,61.27,2811500.0,0.0,0.0
4109,IEFA,2019-10-11,61.540001,11237600.0,0.15,0.244
4110,IEFA,2019-10-10,60.43,6105400.0,0.4,0.666
4111,IEFA,2019-10-09,60.080002,6445200.0,0.03,0.05
4112,IEFA,2019-10-08,59.59,8127600.0,-0.29,-0.484
4113,IEFA,2019-10-07,60.169998,7056300.0,-0.05,-0.083
4114,IEFA,2019-10-04,60.290001,5430100.0,0.5,0.836
4115,IEFA,2019-10-03,59.759998,8771600.0,0.4,0.674
